PartitionKey,RowKey,Timestamp,beginingPinCount,endingPinCount,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,up
Lane 4,20181019044781,10/19/2018 11:23:18 PM,1023,876,763,388,760,319,754,229,754,158,755,97,6
Lane 4,20181019047495,10/19/2018 11:01:57 PM,1023,947,225,397,244,363,259,305,274,245,290,186,7
Lane 4,20181019054037,10/19/2018 11:01:48 PM,1023,930,1006,314,974,173,948,61,"","","","",5
Lane 4,20181019059314,10/19/2018 10:59:22 PM,1023,1007,870,384,861,271,853,166,849,80,840,15,9
Lane 4,20181019075651,10/19/2018 11:00:39 PM,1023,661,358,421,373,389,383,349,392,289,400,232,5
Lane 4,20181019075877,10/19/2018 11:09:45 PM,1023,658,362,404,375,372,386,333,396,278,406,227,4
Lane 4,20181019094508,10/19/2018 11:01:27 PM,1023,877,741,370,740,244,737,131,738,51,"","",7
Lane 4,20181019107179,10/19/2018 11:01:51 PM,1023,937,222,327,271,198,314,99,348,15,"","",6
Lane 4,20181019127266,10/19/2018 10:59:09 PM,1023,1001,900,380,886,253,872,144,865,53,13,303,7
Lane 4,20181019147636,10/19/2018 11:00:01 PM,1023,364,679,283,684,139,703,30,"","","","",5
Lane 4,20181019153966,10/19/2018 10:59:39 PM,1023,168,892,378,880,248,869,135,861,43,782,1,3
Lane 4,20181019165688,10/19/2018 10:59:48 PM,1023,25,446,398,466,362,483,309,500,242,514,189,3
Lane 4,20181019180912,10/19/2018 11:00:57 PM,1023,763,260,420,289,393,312,363,330,319,348,269,8
Lane 4,20181019185311,10/19/2018 10:59:19 PM,1023,1006,897,397,883,276,870,156,858,59,850,1,8
Lane 4,20181019187066,10/19/2018 11:09:35 PM,1023,1022,1129,406,1111,360,1096,299,1076,226,1057,178,9
Lane 4,20181019199291,10/19/2018 10:57:50 PM,1023,13,661,392,663,351,664,287,666,228,666,173,3
Lane 4,20181019219227,10/19/2018 11:01:54 PM,1023,944,159,421,208,335,251,214,288,115,320,32,5
Lane 4,20181019221367,10/19/2018 11:01:30 PM,1023,893,754,409,746,277,740,147,741,48,"","",8
Lane 4,20181019270175,10/19/2018 11:27:11 PM,1023,951,343,405,343,386,352,366,360,343,362,309,8
Lane 4,20181019323045,10/19/2018 11:01:43 PM,1023,929,134,408,204,231,258,88,"","","","",5
Lane 4,20181019323531,10/19/2018 11:19:38 PM,1023,713,290,421,348,372,375,293,400,210,423,136,5
Lane 4,20181019367703,10/19/2018 11:00:30 PM,1023,64,564,406,585,284,599,156,610,52,14,29,1
Lane 4,20181019370976,10/19/2018 11:01:09 PM,1023,780,794,413,782,324,770,210,760,116,755,41,4
Lane 4,20181019375609,10/19/2018 11:00:24 PM,1023,642,267,393,308,277,343,160,374,66,402,3,3
Lane 4,20181019381331,10/19/2018 11:01:20 PM,1023,84,616,420,616,352,615,241,614,146,613,68,3
Lane 4,20181019383326,10/19/2018 11:19:31 PM,1023,18,536,408,543,362,548,293,552,222,556,158,2
Lane 4,20181019385834,10/19/2018 11:00:10 PM,1023,40,455,396,478,286,499,172,517,83,531,14,2
Lane 4,20181019406223,10/19/2018 11:09:38 PM,1023,515,119,421,166,391,194,358,217,312,240,260,3
Lane 4,20181019409217,10/19/2018 11:09:50 PM,1023,959,230,408,252,373,270,332,285,276,300,223,9
Lane 4,20181019413468,10/19/2018 11:01:40 PM,1023,928,1001,327,969,193,947,104,936,16,"","",4
Lane 4,20181019432985,10/19/2018 10:59:28 PM,1023,1015,175,396,208,297,237,187,262,95,286,25,9
Lane 4,20181019443645,10/19/2018 11:02:10 PM,1023,970,1013,414,983,270,958,134,942,30,"","",6
Lane 4,20181019469169,10/19/2018 11:27:07 PM,1023,235,339,417,379,375,401,301,424,219,450,162,6
Lane 4,20181019479509,10/19/2018 10:59:51 PM,1023,281,550,367,567,237,581,127,594,37,"","",4
Lane 4,20181019481620,10/19/2018 11:01:17 PM,1023,842,811,415,797,274,784,132,775,25,935,386,5
